time_s,cx_px,cy_px,tx_mm,ty_mm,tz_mm
11.4145,425.00,158.25,212.8157,3.2741,31.2620
11.4625,425.00,158.00,212.8157,3.5259,31.0161
11.4945,425.00,158.00,212.8157,3.5259,31.0161
11.5426,425.75,158.00,213.5713,3.5259,31.2620
11.5747,426.00,158.25,213.8231,3.2741,31.2620
11.6228,426.25,158.00,214.0750,3.5259,31.2620
11.6709,426.25,158.00,214.0750,3.5259,31.2695
11.7027,426.50,158.00,214.3268,3.5259,31.5159
11.7506,426.75,157.75,214.5787,3.7778,31.5239
11.7827,427.00,158.00,214.8305,3.5259,31.5078
11.8305,427.25,158.00,215.0824,3.5259,31.2695
11.8788,427.00,158.00,214.8305,3.5259,31.0161
11.9112,427.25,158.00,215.0824,3.5259,31.7695
11.9583,427.75,157.75,215.5861,3.7778,31.5239
11.9906,428.00,157.75,215.8379,3.7778,31.7695
12.0385,428.00,157.75,215.8379,3.7778,31.7695
12.0866,428.50,158.00,216.3416,3.5259,32.0078
12.1187,428.75,157.50,216.5935,4.0296,31.2858
12.1666,428.50,157.75,216.3416,3.7778,32.2616
12.1985,429.00,157.50,216.8454,4.0296,32.0239
12.2466,429.25,157.75,217.0972,3.7778,32.0229
12.2945,429.50,157.75,217.3491,3.7778,32.2616
12.3267,429.50,157.75,217.3491,3.7778,32.2616
12.3747,429.50,157.75,217.3491,3.7778,32.2616
12.4064,430.00,158.00,217.8528,3.5259,32.5078
12.4547,430.25,157.75,218.1046,3.7778,32.5076
12.5025,430.75,157.50,218.6083,4.0296,32.2689
12.5343,430.50,157.75,218.3565,3.7778,32.2616
12.5826,431.25,157.50,219.1120,4.0296,32.7689
12.6306,431.25,157.50,219.1120,4.0296,32.7689
12.6628,431.50,157.25,219.3639,4.2815,32.7693
12.7106,431.25,157.50,219.1120,4.0296,32.7693
12.7424,432.00,157.50,219.8676,4.0296,33.0076
12.7906,432.00,157.50,219.8676,4.0296,33.0076
12.8387,432.25,157.25,220.1194,4.2815,33.0227
12.8705,432.50,157.25,220.3713,4.2815,33.2690
12.9188,432.75,157.75,220.6231,3.7778,33.0228
12.9506,433.00,157.25,220.8750,4.2815,33.2613
12.9986,433.50,157.50,221.3787,4.0296,33.5076
13.0466,433.25,157.25,221.1268,4.2815,33.5076
13.0786,433.75,157.50,221.6306,4.0296,33.2689
13.1266,434.00,157.50,221.8824,4.0296,33.5149
13.1586,434.25,157.25,222.1343,4.2815,33.5076
13.2067,434.25,157.25,222.1343,4.2815,33.5076
13.2547,434.50,157.25,222.3861,4.2815,33.7611
