time_s,x_mm,y_mm,z_mm,velocity_mms,acceleration_mms2
8.2559,7.3695,0.0000,-0.1575,1.0128,1.7139
8.2771,7.3903,0.0000,-0.1575,0.9807,-1.5119
8.2984,7.4112,0.0000,-0.1575,0.9797,-0.0450
8.3200,7.4321,0.0000,-0.1575,0.9675,-0.5676
8.3411,7.4531,0.0000,-0.1575,0.9961,1.3556
8.3624,7.4740,0.0000,-0.1575,0.9812,-0.6962
8.3836,7.4950,0.0000,-0.1575,0.9882,0.3280
8.4047,7.5159,0.0000,-0.1575,0.9897,0.0752
8.4259,7.5367,0.0000,-0.1575,0.9843,-0.2590
8.4474,7.5576,0.0000,-0.1575,0.9727,-0.5377
8.4687,7.5785,0.0000,-0.1575,0.9807,0.3718
8.4899,7.5994,0.0000,-0.1575,0.9865,0.2745
8.5114,7.6204,0.0000,-0.1575,0.9755,-0.5114
8.5330,7.6413,0.0000,-0.1575,0.9673,-0.3775
8.5542,7.6624,0.0000,-0.1575,0.9950,1.3059
8.5758,7.6833,0.0000,-0.1575,0.9712,-1.1022
8.5974,7.7044,0.0000,-0.1575,0.9782,0.3259
8.6188,7.7255,0.0000,-0.1575,0.9841,0.2741
8.6401,7.7466,0.0000,-0.1575,0.9872,0.1454
8.6613,7.7677,0.0000,-0.1575,0.9965,0.4430
8.6824,7.7886,0.0000,-0.1575,0.9886,-0.3755
8.7039,7.8083,0.0000,-0.1575,0.9170,-3.3275
8.7252,7.8257,0.0000,-0.1575,0.8183,-4.6445
8.7465,7.8398,0.0000,-0.1575,0.6628,-7.3098
8.7677,7.8501,0.0000,-0.1575,0.4828,-8.4678
8.7890,7.8572,0.0000,-0.1575,0.3377,-6.8228
8.8104,7.8623,0.0000,-0.1575,0.2345,-4.8119
8.8332,7.8658,0.0000,-0.1575,0.1547,-3.5062
8.8545,7.8683,-0.0006,-0.1575,0.1189,-1.6807
8.8760,7.8700,-0.0031,-0.1575,0.1420,1.0740
8.8974,7.8712,-0.0087,-0.1575,0.2663,5.8055
8.9187,7.8720,-0.0180,-0.1575,0.4373,8.0309
8.9402,7.8726,-0.0307,-0.1575,0.5937,7.2863
8.9618,7.8730,-0.0460,-0.1575,0.7068,5.2317
8.9830,7.8733,-0.0630,-0.1575,0.8073,4.7477
9.0045,7.8735,-0.0812,-0.1575,0.8452,1.7659
9.0258,7.8737,-0.1003,-0.1575,0.8942,2.2986
9.0471,7.8738,-0.1200,-0.1575,0.9267,1.5256
9.0682,7.8738,-0.1400,-0.1575,0.9434,0.7899
9.0894,7.8739,-0.1602,-0.1575,0.9557,0.5797
9.1107,7.8739,-0.1806,-0.1575,0.9569,0.0568
9.1322,7.8739,-0.2012,-0.1575,0.9609,0.1871
9.1534,7.8740,-0.2219,-0.1575,0.9782,0.8153
9.1746,7.8740,-0.2427,-0.1575,0.9801,0.0907
9.1956,7.8740,-0.2635,-0.1575,0.9874,0.3444
9.2175,7.8740,-0.2843,-0.1575,0.9486,-1.7724
9.2388,7.8740,-0.3052,-0.1575,0.9839,1.6585
9.2600,7.8740,-0.3262,-0.1575,0.9913,0.3457
9.2810,7.8740,-0.3472,-0.1575,0.9956,0.2040
9.3022,7.8740,-0.3680,-0.1575,0.9846,-0.5170
9.3235,7.8740,-0.3889,-0.1575,0.9795,-0.2379
9.3449,7.8740,-0.4097,-0.1575,0.9745,-0.2329
9.3662,7.8740,-0.4307,-0.1575,0.9816,0.3330
9.3873,7.8740,-0.4516,-0.1575,0.9949,0.6300
